wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,deposit_amount,borrow_amount,repay_amount,redeem_amount,repayment_ratio,liquidation_ratio,activity_score,lifetime_days,score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,0,0,0,0,2000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x000000000051d07a4fb3bd10121a343d85818da6,1,0,0,0,0,145000000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x000000000096026fb41fc39f9875d164bd82e2dc,2,0,0,0,0,5000000000.0,0.0,0.0,0.0,0.0,0.0,0.02,7.574131944444445,504.0
0x0000000000e189dd664b9ab08a33c4839953852c,0,0,0,17,0,0.0,0.0,0.0,4835297129866.918,0.0,0.0,0.17,129.3277662037037,434.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,250,15,4,130,0,9.459365814707709e+16,3.946000000007e+16,70024.57285,3.946555879661166e+16,1.7745710301539731e-12,0.0,1.0,132.8659027777778,1000.0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,7,8,5,5,0,1.06096172676103e+16,11605.0,11613.645226,2300885439474.3633,1.0,0.0,0.25,39.28017361111111,683.36
0x000000003853fcedcd0355fec98ca3192833f00b,8,0,0,0,0,45426992712.60784,0.0,0.0,0.0,0.0,0.0,0.08,7.889201388888889,1000.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,309,30,16,137,0,2.7418827529682688e+17,8.633978978750131e+16,336813453090048.6,1.8488824160329504e+17,0.0039010223897812443,0.0,1.0,123.50150462962964,1000.0
0x000000007858e6f2668e1e06111cfa24403a5466,1,0,0,0,0,92647493827.74971,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,0,0,0,0,1.797442,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,26,24,9,10,0,8.005480506185254e+17,5.979480506185253e+17,5.991795354062131e+17,8.01754315692455e+17,1.0,0.0,0.69,30.65619212962963,878.0
0x00000029ff545c86524ade7caf132527707948c4,12,12,12,11,0,2.7034675765792676e+18,1.204488620972924e+18,1.20467795862627e+18,2.7038962827582986e+18,1.0,0.0,0.47,2.104513888888889,878.62
0x00000087c4cebffb95746d1935de7fbcab092f40,86,62,45,57,0,2.000200538589319e+16,2.1000000001237224e+16,1179898840967199.2,1006756857053.4058,0.05618565909036595,0.0,1.0,100.5072800925926,719.18
0x000000e28faa823d5b53ff6c2922c28335840375,107,66,63,61,0,2.3300892609316024e+18,2.5277735257846426e+18,1.7742433097249004e+18,1.8716870029498985e+18,0.7018996328692698,0.0,1.0,137.20600694444445,974.44
